keyword,edited_text,is_euph,category,type,euph_status
income inequality,"You know, Germany is a lot more liberal (sensu USA) than Spain. Germany has better environmental and labor @ @ @ @ @ @ @ @ @ @ much less <income inequality>, higher salaries, more decent politicians. Spain has the highest income inequality of all of Europe, less government transparecy, much much more corruption, nepotism and cronyism. ",1,employment,income inequality,always_euph
correctional facility,"Shortly after the incident, investigators concluded that Adams' boyfriend-- Chancellor's father-- was the mastermind behind the shooting. That man was former Carolina Panthers wideout Rae Carruth, who is currently serving 18 to 24 years at a North Carolina <correctional facility>. Tragically, Chancellor was left with cerebral palsy as a result of being deprived of oxygen in utero as his mother lay dying. ",1,politics,correctional facility,always_euph
weed,"Personally I think that economic recessions, including the current one, are a good thing. Recessions help to <weed> out the crappy companies that aren't creating and delivering value people want. Many of those companies were doing a good job at one time, but they failed to keep pace. ",0,substances,weed,sometimes_euph
indigent,"Saldanha-Bay: A temporary suspension of all credit control measures and procedures will be implemented until the end of April 2020, meaning that there will be no blocked electricity meters and no restriction measures. The Free basic water allocation for <indigent> residents will be increased from 6 to 10 kilolitres from April 2020 until the end of June 2020. The largest holiday resort has been made available for a containment area if needs be. ",1,employment,indigent,always_euph
homemaker,"Sure, I had some of the toys-- but my mom was a <homemaker>, and my dad worked at the post office. We were a lower -, lower -, lower-middle-class family who qualified for free government cheese a couple years in a row, so the purchasing of plastic trinkets that echoed one of their kids' favorite movies was reserved for really special occasions. ",1,employment,homemaker,always_euph
elderly,"From an economic standpoint you are absolutely correct (Mike Huckaby made the same point). However, from a moral standpoint you are describing a system that denies coverage to the sick, disabled and <elderly>. This is called eugenics and I believe the Germans made it part of their health care policy in the 1930's. ",1,physical/mental attributes,elderly,always_euph
disabled,"The past truly comes alive in this ambitious course, as Professor Garland takes a series of imaginative leaps to put you inside the world of history's anonymous citizens, providing you with a fuller understanding of the distant past. You'll see what daily life was like for workers, the poor, the elderly, the sick, the <disabled>, refugees, women, children, slaves, and soldiers. Through the professor's engaging stories and with the aid of dazzling graphics, you'll experience the texture of daily life in these civilizations like never before-- and you'll be delighted by the ways you'll identify and empathize with people from another world. ",1,physical/mental attributes,disabled,sometimes_euph
disadvantaged,"Two laws were passed by the City Council in 2005, mandating reporting on class size and TCUs, as parents, elected officials, and other members of the public were seriously concerned that excessive class size and substandard facilities substantially <disadvantaged> our public school children. Yet there was little data available to delineate the scope of the problem.",0,employment,disadvantaged,sometimes_euph
weed,"This often allowed for unusual encounters, such as the award-winning novelist who I once telephoned from a hotel lobby as his attentions were diverted by a prostitute (to his credit, he did the interview anyway) or the author who was so needlessly nervous that he showed up stinking of redolent <weed> ( I said nothing, but was happy to see him clean up his act years later) or the guest who was so insecure that he asked me to feel his bicep (I did; why not?). Such human moments allowed me to care more about the authors, even as I maintained a febrile curiosity and did my best to ask honest questions, finessing some of the more challenging and critical queries with this ethos in mind. ",1,substances,weed,sometimes_euph
weed,My heart go's out to randys family and the two girls. horrible outcomb of a fun summer night randy gave me some of the best memories in my live he was the live of the party and a hard working good guy i will miss your friendship and your sence of humor. As for mtdawg and 420 stoner and chewy you three just sit on the cough smoke your <weed> and live your facebook life with your 600 fakebook friends He had more real life friends than you three pukes will every have so take your rude comments and stuff them. you know those girls could of been texting and @ @ @ @ @ @ @ @ @ @ outcome of something that could've been funny turned out to be tragic for all parties involved and you should respect all parties involved. Rehberg hit the beach over at wayfarers park... when's the last time that happened prior... it's unfortunate to see the negative responses coming from a community so tightly nit...,1,substances,weed,sometimes_euph
fatality,"The Hudson River, where the New York swim was staged, was filled with oversized jellyfish, which didn't help her state of mind. There was also a <fatality> in the water on race day, when a 32-year-old man collapsed from a heart attack. Emotional landmines were everywhere for her. ",1,death,fatality,always_euph
correctional facility,What SHOULD prevent a LEO from committing vehicular homicide is the same thing that tends to @ @ @ @ @ @ @ @ @ @ and risking their fellow citiziens-which is getting your a** thrown in the appropriate state <correctional facility> next to bubba for a long long time. Perhaps LEO's should have additional punishment because of all the people in town/county they should know better.,1,employment,correctional facility,always_euph
late,"Knopfler's fans are legion, as witnessed by the tally in the online voting, but the Cars had a better, more extensive catalog, at least in my judgment. Plus, as I said before, the ceremonies will be in Cleveland, and the <late> Cars bassist and singer Benjamin Orzechowski was born in Lakewood. It'll come down to one or the other, with the Cars in the driver's seat, so to speak. ",1,death,late,sometimes_euph
aging,"Not enough for long term, but beyond the 72-hour mark. Some family lives only miles from us, but my <aging> parents live in the' burbs between Baltimore and Washington-- NOT the place to be! They will head here in an emergency, no doubt, so we are prepared for them. ",1,physical/mental attributes,aging,sometimes_euph
disabled,"That gave me an idea, since my iPad is not the 3G version, it could never open ""apple"" website without the WiFi working... so I went on Settings, <Disabled> WiFi, then Cellular, and disabled Cellular data. Then I enabled WiFi again and it connected without issues. ",0,physical/mental attributes,disabled,sometimes_euph
lay off,"Holy shit, <lay off> the ludes Niall. When did he start talking so slowly? ",0,employment,lay off,sometimes_euph
rear end,Howard said he might be. Roger said that there were people who came on to him and they would touch his <rear end> and things. He said he would jokingly tell them to keep their hands off of him.,1,physical/mental attributes,rear end,always_euph
sex worker,"Aha! Sofia the Muslim terrorist might have been willing to unveil and dress as an enslaved <sex worker>, but she wouldn't violate her religion by getting a tattoo. Then Eames gives a self-satisfied smirk like she knows shit about anything. ",1,sexual activity,sex worker,always_euph
aging,"Like the expansion of land-use regulations, suburban renewal had a disproportionate impact on working-class and poor blacks. Such families were most likely to live in the ""dilapidated housing"" and <aging> neighborhoods that officials slated for demolition. Elimination of these areas reduced the supply of affordable housing available to existing residents and newcomers alike, and since these areas often provided the first foothold for working families moving to the suburbs, their demolition foreclosed a pathway to further migration. ",0,physical/mental attributes,aging,sometimes_euph
less fortunate,"Not everyone has a car, or the money to purchase a bus ticket out of town, or gas for a car. An airplane ticket out @ @ @ @ @ @ @ @ @ @, maybe yes, but not for the <less fortunate> among us. These people can barely afford bus fare to get to the other side of town! ",1,employment,less fortunate,always_euph
intoxicated,"With his calloused and bloodied hands, Steve spreads open the bird's intricate wings. Then, still <intoxicated> with adrenaline, he pulls the carcass apart to @ @ @ @ @ @ @ @ @ @. ",0,substances,intoxicated,sometimes_euph
pass on,Tiffany makes a deal with him. She'll <pass on> a letter to Nikki if Pat promises to train and participate in a couples' dance competition Tiffany wants to enter. There is much more taking place in the movie as well... I'll just say that it all works together marvelously.,0,death,pass on,sometimes_euph
collateral damage,"Daniel Ellsberg has been running around singing the praises of Julian Assange ever since his first big-time leak, the <Collateral Damage> video, which showed a U.S. gunship killing various unarmed civilians in Iraq two of whom happened to be reporters. With the recent pile of ""leaked"" state department memos, Ellsberg can't hardly take a breath between interviews and round table discussions, where he is the primary focus and a staunch supporter of everything Wikileaks. ",1,death,collateral damage,sometimes_euph
slim,"Ohio became the pivotal state in those elections, when Democratic candidate Mr. Kerry refused to concede the race on election night because of the <slim> margin here and rumors of voting irregularities. Democrats' fury settled on Mr. Blackwell, one of the nation's most prominent black Republicans, who they argue worked overtime to complicate voting in 2004. ",0,physical/mental attributes,slim,sometimes_euph
portly,"Dear High PR Backlinks-- (another subtle link in this one) Now, I know damned well your mother is NOT Ms. Backlinks, and even she had been High when you were conceived by Mr. <Portly> Richguy I don't think @ @ @ @ @ @ @ @ @ @ Astigmatism (can't tell if you're trying to be a vision defect or a new political philosophy) When you say ""Amazing site, I love rckohler.com"" you MUST be telling the truth, cause you've been at least a coupla times. Each time hawking some different stuff.",1,physical/mental attributes,portly,always_euph
armed conflict,"It all looked rather different back in May 2011, when Yale author David Lesch outlined the options for President Bashar al-Assad, during the early stages of the unrest. @ @ @ @ @ @ @ @ @ @ <armed conflict>, and Assad had been caught unawares, having refused to believe that the Arab Spring, which had already engulfed Tunisia and Egypt, would reach his' stable' country. On the Yale blog Lesch, a professor of Middle East history who has met the Syrian president on a number of occasions, summarised Assad's inept handling of the Arab Spring, providing three possible outcomes for the situation: ",1,politics,armed conflict,always_euph
demise,"The department may have valid and justifiable reasons to be reticent to release early details, and state law allows police to withhold information if it could jeopardize an investigation or impede a person's right to a fair trial. But in this case, the department has not explained @ @ @ @ @ @ @ @ @ @, leaving the girl's family desperate for answers about her <demise>. ",1,death,demise,sometimes_euph
detention camp,"In 1940 she came to the United States with her second husband, Heinrich Bluecher, and both became American citizens. Her experiences, then, read like a parable of this century: persecution, statelessness, exile, a brief internment in a <detention camp>, immigration, success and public recognition. It should come as no surprise that in the new Germany she has become something of an icon.",1,politics,detention camp,always_euph
less fortunate,"""We are excited as a church to partner with United Way and other churches in our community and this is a wonderful collaborative opportunity to bless the homeless and to serve those who are <less fortunate>,"" said pastor Loren Hicks with the Pacific Christian Center. ",1,employment,less fortunate,always_euph
time of the month,"He notes how this is the first major change on the farm and it's already a disaster. I swear, he's as over dramatic as a teen age girl having her first <time of the month>. He wanders through the house on the property, and notes how it's basically a tumbled down shack and completely. ",1,bodily functions,time of the month,always_euph
intoxicated,"Small claims Court drama, teenage baby mamas, Osama watching Osama, Celebrity @ @ @ @ @ @ @ @ @ @ cannonfodder for you to ponder, all at the speed of imitations of life while the smoke of war gets inhaled thru the peace pipes, be still my beating heart and scare my brain from thinking thoughts as i sit <intoxicated> by the delights, sarcasm and 3 strikes thrown by my favorite pitcher in a sound surrounded, 3 dimensional, high death, full color mixture, wholly unsocializing and completely uncensored, ",0,substances,intoxicated,sometimes_euph
collateral damage,I'm disappointed. They will never understand the <collateral damage> Romney has created for them.,0,death,collateral damage,sometimes_euph
droppings,"According to an investigative report by The Guardian, one shop was found to have for sale live animals such as ""live wolf pups, golden cicadas, scorpions, bamboo rats, squirrels, foxes, civets, hedgehogs (probably porcupines), salamanders, turtles and crocodiles."" All destined for the cooking pot, it seems. Bats are known carriers of many viruses and the forest dwelling pangolin could have picked up the virus from bats' <droppings> on the forest floor, some speculate. This is a likely cross over for the virus. ",1,bodily functions,droppings,always_euph
capital punishment,"Dear God, let us elect leaders, who will have the courage to try people for treason, and issue <capital punishment> again. This is the only way, the crimes against this country will stop. ",1,death,capital punishment,always_euph
mixed up,"TILLMAN: I really do want @ @ @ @ @ @ @ @ @ @ feel like giving up, but from my experience I never have. I remember that I have had a lot of disabilities and I remember getting over a lot of them, like for reading, for instance and I used to get Rs and Ws <mixed up>. I used to pronounce Rs as Ws and Ws as Rs, so... and once I fixed that I felt really good about it because nobody taught me and I just did it on my own.",1,physical/mental attributes,mixed up,sometimes_euph
pass away,"Whenever the Church celebrates the Eucharist she remembers this promise and turns her gaze ""to him who is to come."" In her prayer she calls for his coming: ""Marana tha!"" "" Come, Lord Jesus! "" ""May your grace come and this world <pass away>!"" ",1,death,pass away,sometimes_euph
aging,"Large forested landscapes have an unnatural distribution @ @ @ @ @ @ @ @ @ @. Although older age forests are important to the biodiversity of forest ecosystems, the growing number of <aging> and overstocked forest landscapes are becoming vulnerable to insects and disease. The national list of threatened and endangered species is increasing and some fish habitat populations are limited by problems of water quality and quantity. ",0,physical/mental attributes,aging,sometimes_euph
pro-choice,Mitt Romney wants to take away our well-fought right to control your own body. It's not about being <pro-choice> or anti-choice. It's about being pro-America.,1,politics,pro-choice,always_euph
detainee,"While an American soldier must obey promptly all legal orders, he must also disobey an order which requires him to commit a criminal act in violation of the law of war.... An order to execute a prisoner or <detainee> is clearly illegal. An order to torture or abuse a prisoner to get him to talk is clearly illegal?. ",1,politics,detainee,always_euph
capital punishment,"So with the efforts to protect is the second amendment trumping the one of the 10 commandments? Rev. Matthews says no. "" The bible clearly states there are 3 times its okay to kill and that would be in war, <capital punishment> or protecting yourself ##60310 whats the value of HK? ",1,death,capital punishment,always_euph
lay off,"Yes, yes-DRM is bad. But in this case, it really doesn't impact the usage of the software at all, so why are you complaining again @ @ @ @ @ @ @ @ @ @ This Spore mess may very well may be the necessary martyr to signal the game companies using such insane DRM to <lay off>. If you use this, the end users may take this as an extreme annoyance hardly worth the purchase, a sign of mistrust between consumer and developer. ",0,employment,lay off,sometimes_euph
collateral damage,"It's his mind that makes Ledger's Joker a super-villain. He's not just a criminal, he's the @ @ @ @ @ @ @ @ @ @ is science fiction about how people deal with crime, with existential threats to society itself, and the answer seems to be, ""not well."" For most of the movie, the options presented to Batman, Gordon, and Harvey Dent are either acquiesce to the Joker's demands or, as Michael Caine puts it, ""burn the forest down,"" spy on all of Gotham, torture potential witnesses left and right, and ignore the <collateral damage>, whether that's blowed-up girlfriends, physically and mentally scarred DAs, possible war with China, or a shit-ton of murdered cops. And since destroying Gotham is the Joker's goal, either way, he wins. ",1,death,collateral damage,sometimes_euph
fatalities," But the fact is, we are here. I just urge everyone to be as careful as you can be,'' he said.'' I just hope all the fans stay safe and I really hope we get through this weekend and we don't see any <fatalities>.'' ",1,death,fatality,always_euph
went to heaven,"Jesus died, but extremely small group of people was informed about his death and the significance of his, mission "". Those who have heard about the event @ @ @ @ @ @ @ @ @ @ Jesus' death: some of them were good, did not, sin"", and <went to heaven>, and other were bad, did not give a shit for Jesus and his death, and went to hell. OK, they were informed, they had opportunity to make the right choice, and if some of them went to hell, they deserved it. ",0,death,went to heaven,sometimes_euph
freedom fighters,Let us honor King's memory and walk to school with Hadassa and Na'ama Margolese; let us send our support to the <freedom fighters> in Israel who refuse to have their children spat upon or to sit at the back of the bus. Privacy Policy Terms of Service Publication,1,politics,freedom fighter,always_euph
overweight,"Just don't. Because if you're wrong, you've just told that person that she's <overweight> and totally looks it. Gee, thanks. ",1,physical/mental attributes,overweight,sometimes_euph
aging,The good news of this job is that opportunities are expected to increase by nearly 50% over the next 10 years. This is due to the <aging> of our population and the care they will require because of increasing health @ @ @ @ @ @ @ @ @ @ grueling as it includes such tasks as dealing with bedpans and dirty bed linens. It pays an average of $9.75 an hour and people who do this job have a high incidence of injuries and work related illnesses.,0,physical/mental attributes,aging,sometimes_euph
to go to heaven,Roger said that the money goes to all areas. Howard said he's going <to go to heaven> for that. Roger said he doesn't think so.,0,death,to go to heaven,sometimes_euph
golden years,"No problem, edit the book with the old gaffes removed, add a few trendier predictions, and release it as a new book. Lindsey, now well into middle age and hurtling towards his <golden years>, still clings to the long discredited dispensationalist hypothesis (Carleton's contribution is more stylistic) despite his failed scenarios. Lindsey's original view was that the end times events would take place in the 1980s (he even wrote a book The 1980's: Countdown to Armageddon trumpeting this belief). ",1,physical/mental attributes,golden years,always_euph
undocumented workers,"The bipartisan immigration Bill now before the United States Congress is a slap in the face to the American people and it's workers. It seems both the Democrats and Republicans want the American people to accept this luncy of a Bill that allows what they claim an estimated 12 million so called ""<undocumented workers>"", when in reality they are illegal immigrants, into this country. The other reality @ @ @ @ @ @ @ @ @ @ not correct as this administration and the Congress wants the American people to believe. ",1,politics,undocumented workers,always_euph
accident,"Timer went off, we went to try. He got an M &M; for every time he actually went in the potty and reminded him to let us know if he had to go if he had an <accident>. After about 2 days, we extended the time to 45 mintues.",1,bodily functions,accident,sometimes_euph
troubled,"@@1018541 ContentsTRYING TO SLEEP # Section: FICTION My client for this morning's 61 Surf Road showing is a welding contractor down from Parsippany, New Jersey, Mr. Clare Suddruth, with whom I've already done the toilsome but crucial real-estate spadework over the past months, which means that I've driven him around the Sea-Brite-Ortley Beach-Seaside Heights-Lavallette area on what I think of as a lay-of-the-land tour, during which the client gets to see everything for sale in his stated price range, endures no pressure from me, begins to think I'm his friend (since I'm squandering all these hours and gallons of gasoline with nothing in writing), comes in time to gab about his life-his failures, treacheries, and joys-lets me buy him a dozen lunches, and realizes that we're both pretty much cut out of the same coarse fustian and share many core values (the economy, Vietnam, the need to buy American even though the Japs build a better product, the millennium non-event, America's <troubled> youth, how much we'd hate to @ @ @ @ @ @ @ @ @ @ agree about the current Election 2000 impasse in Florida, which has the country at a standstill while the Republicans figure out how to steal it back. But, especially, we do see eye to eye about what constitutes a good house, and how most buyers are better off setting aside their original price targets in favor of stretching their pocketbooks, getting beyond the next dollar threshold ( where the houses they really want are as plentiful as hoe handles), and doing a little belt-tightening while the economy's ebb and flow keeps their boat afloat, on course, and steaming ahead. ",1,physical/mental attributes,troubled,sometimes_euph
undocumented immigrants,"The Republican Party Can Ony Reach its 40% of Latino Voters Goal By Evolving on Immigration: The poll found that nearly one-in-three Latino voters would be ""more likely to vote @ @ @ @ @ @ @ @ @ @ in supporting comprehensive immigration reform, with an eventual pathway to citizenship for <undocumented immigrants>."" Of note, one-in-five Latinos who voted for President Obama in 2012 (19.8%) said that they would be open to voting for Republicans if the Party came to the table on immigration. Combining this subset of Obama voters with the 23% of Latinos who voted for Mitt Romney, a pro-immigration reform Republican Party would be in the mix to achieve the 40% threshold of Latino support that George W. Bush received in 2004 and many analysts say the GOP will need going forward to remain a nationally competitive party, especially as demographic trends accelerate for the 2014 and 2016 elections. ",1,politics,undocumented immigrant,always_euph
homemaker,"While I @ @ @ @ @ @ @ @ @ @ I must create this within myself, and ""be at home"" wherever I am. Perhaps we are always ""between adventures""-- even when we are traveling; as each individual story is set in time and place, with particular characters, and the only constant is the ""I,"" the storyteller, the one living the adventure of being a <homemaker> or a traveler or however we define ourselves. ",1,employment,homemaker,always_euph
lavatory,"In overlapping stories, the reader learns what happened to individual members of Alpha Company. Ted Lavender is shot dead as he walks back from the <lavatory> one evening. Kiowa dies during a sniper attack, his wounded body sinking into a stinking, rain-drenched swamp, before his friends can rescue him. ",1,bodily functions,lavatory,always_euph
disadvantaged,"The current study examined 205 youth and mentor relationships from Project: Youth Connect (PYC), which aims to prevent, reduce, and delay substance abuse among at-risk youth (students identified as economically <disadvantaged> and/or having academic issues). Mentors were trained on effective relationships, strategies for working with at-risk youth, substance abuse issues, as well as developing personal competencies.",1,employment,disadvantaged,sometimes_euph
put to sleep,"We never gave a dog away or sold one. They all died or had to be <put to sleep>. My older dog Daisy now seems to know that she is slowing down, can't walk as well, and is moving slower, etc. ",1,death,put to sleep,sometimes_euph
disadvantaged,"Some flee unto it as a sanctuary from guilt, as that which tendereth more ready ways for the pacification of conscience than that faith and repentance which the gospel doth require. Some having lost the sense of all religion in the pursuit of their lusts, finding themselves uneasy in their atheism, or <disadvantaged> by the reputation of it, take shelter in the Roman dress. Some are really entangled and overcome by the power and subtlety of numerous seducers who lie in wait to deceive. ",0,employment,disadvantaged,sometimes_euph
advanced age,"I'm torn here @ @ @ @ @ @ @ @ @ @ Slaughter's gumption, and if she's still in perfect health it would be a shame to see her pushed out of office. But 82 is not 62, and it's reasonable for voters to consider <advanced age> when deciding who to vote for this fall. It's not ageism to observe that being 82 poses certain health risks.",1,physical/mental attributes,advanced age,always_euph
plump,"The mother wipes her baby's bottom, saying ""Kuinijuannu saluitutinnai. Gorgeous and <plump>, aren't you nice and clean."" The mother's father comes over to watch his granddaughter being wiped. He leans forward, his face close to the baby's, and talks to her softly: ""Nuliakuluga.""",0,physical/mental attributes,plump,sometimes_euph
late,"Larger companies began paying &shy; serious attention to their women's products in the <late> 1990s. Like Terry, product managers at Trek, Specialized, and other big companies culled anatomical data from many sources. ",0,death,late,sometimes_euph
advanced age,"But, recently, even the healthy old-aged people have accepted the importance and benefits of undergoing regular therapy. Yes, it is beneficial for people who are in their <advanced age> to undergo regular physical therapy to prevent serious physical ailments. About Author: Leah",1,physical/mental attributes,advanced age,always_euph
overweight,"Exercise regularly and maintain a healthy body weight. Lose weight if you are <overweight>, but avoid low-carbohydrate diets that are designed for quick weight loss. When carbohydrate intake is insufficient, your body can't completely burn its own fat. ",1,physical/mental attributes,overweight,sometimes_euph
enhanced interrogation techniques," Mostly everyone is against waterboarding or "" <enhanced "" interrogation techniques> . I guarantee 9 out of 10 people would change their minds if after a horrific event they were asked if they were still against these techniques knowing it could have prevented them . I do n't quite understand why we have so much sympathy for people who want to cause so much harm and chaos , but we wo n't hesitate to elect a man who may be for partial birth abortions . ",1,politics,enhanced interrogation techniques,always_euph
chest,"her previous hairstyle was far too long, but this is not the look for her either, she appears to have a bit of @ @ @ @ @ @ @ @ @ @ half up do only makes her hairline look really odd, i was also so distracted by how shiny (even greasy), her <chest> and cleavage looked on camera last night, a lighter hand with the body oil was needed... ",1,physical/mental attributes,chest,sometimes_euph
dismissed,"Last week a federal judge <dismissed> a lawsuit against the Drug Enforcement Administration by Lee Paige, the DEA agent who literally shot himself in the foot with an allegedly unloaded gun while talking about firearm safety to a roomful of Florida children-- right after announcing, ""I'm the only one in this room professional enough... to carry this Glock 40. """,0,employment,dismissed,sometimes_euph
income inequality,"people a bit from ensuring basic needs; honestly, making enough to survive is not a capitalistic pursuit, it is a desperate need of all those that need to survive in a system based upon wealth and <income inequality> and private ownership of the means of production and distribution. ",1,employment,income inequality,always_euph
substance abuse,"We are taught that the family is the back bone of society and that our children must be reared to reflect the highest morals and training to perfect our society. We are trained to eat and to prepare the best of foods for the longevity of life, without the use of alcohol, smoking and <substance abuse> which endangers the ethics of healthy living. We are taught to respect and protect our women who are the mothers of civilization. ",1,substances,substance abuse,always_euph
expecting,If this was a sequel I sure as hell would have watched the previous movie. It's like going into Return of the Jedi <expecting> everything to make sense. You have to watch A New Hope and The Empire Strikes Back to get the full context.,0,physical/mental attributes,expecting,sometimes_euph
disabled,"I was homeschooled up until 5th grade, which is when I started attending a public elementary school, followed by a public high school for grades 7-12. I couldn't help but feel like I was in a school for the mentally <disabled> for most of my public school experience. Grammar, geography, the ability to do any sort of math without a calculator, foreign language, artistic talent, intelligent discussion, and the ability to effectively read, were all not very important whatsoever throughout my eight years of public education. ",1,physical/mental attributes,disabled,sometimes_euph
pre-owned,"It includes national brands like Champion, Jordache, and Levi Strauss. She said that, ""The new retail platform for fashion and accessories at mass market prices will allow customers to find nearly 750,000 <pre-owned> items from thredUP in women's and children's clothing as well as accessories, footwear, and handbags."" ",1,physical/mental attributes,pre-owned,always_euph
with child,"As I said: Read your bible. Isaiah wrote: ""Therefore the Lord himself will give you a sign: The virgin will be <with child> and will give birth to a son, and will call him Immanuel."" And in the original text there is no mention of ""virgin"" but ""young woman"". Even more: The text referres to the clash of two kings-- both of them were already dead, when Jesus was born. ",1,physical/mental attributes,with child,sometimes_euph
stout,"The running game struggled against the <stout> Denver front seven, as the Broncos were able to beat our linemen from the snap, filling up gaps, and getting into the backfield. Adjustments were attempted, as the Panthers did try to run the shot gun sweeps and tosses that had been so successful against Washington, however, our blockers were not able to hold the edge against the Bronco's DE's/OLB's (I'm looking at you Von Miller). ",1,physical/mental attributes,stout,sometimes_euph
made love,"I think her name was Michelle. We <made love> on the beach, on the edge of the Morrisons' watery grave. It was her first time, she said, and afterward I made a hole in the sand with my bare foot and buried my used condom-my seed, my potential sons and daughters sealed in their plastic coffin, earth tapped down gently over them with the palm @ @ @ @ @ @ @ @ @ @ in a beach towel, silent and full of regret. ",1,sexual activity,make love,always_euph
intoxicated,"The ""noble simplicity, calm grandeur"" of Goethe and the ""sweetness and light"" of Matthew Arnold were the appropriate adjectives for Greek culture. But Nietzsche brought in the Dionysian festivals, as another aspect of it, and its longing, in the words of Kaufmann, to "" exceed @ @ @ @ @ @ @ @ @ @ applications, for it points to the need of all cultures, and thus all individuals, to at times attend the Dionysian festival and get out of equilibrium, remain for awhile off-balance, and get <intoxicated> with the dance of unreason. ",0,substances,intoxicated,sometimes_euph
time of the month,"Along with the video, students were given a booklet titled @ @ @ @ @ @ @ @ @ @ to do that <time of the month> but also discouraged the use of tampons, and as you'll see when you watch, gave very specific hygiene advice. They also gloss over the whole ""blood"" thing and don't ever mention sex (though I could say it's implied in the dance portion). ",1,bodily functions,time of the month,always_euph
laid off,"A former mechanic, McFoy went back to school at Davidson County Community College to learn @ @ @ @ @ @ @ @ @ @ from DCCC by 2014, started working as a machinist for Special Fab and Machine Inc. in Lexington about a month ago. He's loved every minute of it, he said. ""When I got <laid off>, I wanted to try something different,"" McFoy said. "" Now, I'm hooked. Sure, it's work, but it's fun. ",1,employment,lay off,sometimes_euph
long sleep,"Plato, like other philosophers, is thus led on to the conclusion, that if' the ways of God' to man are to be' justified,' the hopes of another life must be included. If the question could have been put to him, whether a man dying in torments @ @ @ @ @ @ @ @ @ @ in the Apology,' death be only a <long sleep>,' we can hardly tell what would have been his answer. There have been a few, who, quite independently of rewards and punishments or of posthumous reputation, or any other influence of public opinion, have been willing to sacrifice their lives for the good of others.",1,death,long sleep,sometimes_euph
neutralize,Kelly struggled badly against left handed hitters this season who posted a.313 /.389 /.528 line against him. Kelly as a starter remains largely dependent on his ability to <neutralize> opposite handed hitters.,0,politics,neutralize,sometimes_euph
troubled,"The extended family community that often helps to bridge the gap in Africa, was also adversely affected. Nigerians in Diaspora whose financial remittances constitute a major @ @ @ @ @ @ @ @ @ @ also ran into <troubled> waters. In every sense, Nigeria's financial sector faced a severe respiratory crisis, with corresponding implications for economic growth and social stability. ",0,physical/mental attributes,troubled,sometimes_euph
sanitation workers,"Then they care. And this is a result of ideology, even if our political betters in the national press corps refuses @ @ @ @ @ @ @ @ @ @ the city once had 15,000 <sanitation workers>. It now has 5000. ",1,employment,sanitation worker,always_euph
venereal diseases,"Henry VIII, like many men of his time, was afflicted with syphilis, and according to a Cambridge, Massachusetts anthropologist, Grace W. Vicary, the exaggerated codpeices contained medication for the relief from the symptoms. They enclosed a specialized bandage and protected outer clothing from being stained by the medicine. (10) Considering the widespread occurrence of <venereal diseases> during the Renaissance, the greatly enlarged codpiece as a huge protective device is not too far-fetched. A second possible explanation for the growing proportions of the codpiece is particular to Henry VIII himself. ",1,sexual activity,venereal disease,always_euph
global south,"Boetha in South Africa are examples of this form of government. Capitalist dictatorship has declined around the world in favor of capitalist parliamentarism, in part because of the rising power of middle and working classes in the <global South>. ",1,politics,global south,always_euph
gluteus maximus,"Not to be judgmental, but perhaps Bristol needs to convince Tripp to run up and down a couple of flights of stairs, so she can chase him and firm up those all important <gluteus maximus> muscles. You know, since HE'S her only identified source of exercise.",1,physical/mental attributes,gluteus maximus,sometimes_euph
experienced,"SPOTLIGHT ON AGEING: At the AARP dinner, which looked at how to achieve more age diversity within organizations and across the workforce, someone noted there were 17 gender sessions at the WEF, but only two on age. Guests at the dinner urged a reframing of workers as ""<experienced>"" rather than old. The clear call to action: Interested organizations should work on writing the business case for hiring experienced/older workers. ",1,physical/mental attributes,experienced,sometimes_euph
stout,"They hope to brew 450 barrels (about 14,000 gallons) this year, which means you won't see it everywhere. But a dozen Portland and Salem pubs are pouring the Gilgamesh beers, which include Mamba; an excellent IPA; Hop Scotch, a dry-hopped Scottish wee heavy (9 percent alcohol) and the intriguing Chocolate Mint <Stout>, a light stout made with fresh Willamette Valley mint that Lani Radtke says is a stout for all seasons-- especially summer. ",0,physical/mental attributes,stout,sometimes_euph
substance abuse,"After an intervention, the best case scenario is that the individual suffering from drug or alcohol addiction will be compelled to enter either an inpatient or outpatient <substance abuse> treatment program. Each patient's needs and means are different, and outpatient and inpatient programs have varying benefits for patients and family. ",1,substances,substance abuse,always_euph
indigent,"With a management degree from BYU and medical degree from Tufts, it's probably damn good care too. I'm sure he offers an <indigent> veteran's rate in thanks for their service to his country. As we know, compassion runs deep in the Romney family. ",1,employment,indigent,always_euph
senior citizens,"Angie Hiesl certainly knows how to shock and awe, causing complete strangers to stop dead in their tracks and admire her art installations. That's because her work involve placing <senior citizens> in white chairs and then sticking them to the side of buildings some 20ft in the air! ",1,physical/mental attributes,senior citizen,always_euph
deceased,"The term refers to the practice of watching over the corpse during the period between death and burial. Partly, this had to do with making sure someone was always around in case the corpse woke up (see our Buried Alive page for numerous stories about premature interments), but the watchers were also there to make sure household animals and assorted vermin were kept off the <deceased>. ",1,death,deceased,always_euph
demise,"Barack Obama gave many of my age reason to stop being snide and start being earnest. To actually do something, to care about something, instead of resigning ourselves to simply being more aware than the average joe of our <demise>. A lot of people just bought the t-shirts, went to a rally, partied like a Barack-Star. ",1,death,demise,sometimes_euph
